"finalName","genus","family"
"Agapostemon texanus","Agapostemon","Halictidae"
"Agapostemon tyleri","Agapostemon","Halictidae"
"Andrena angustitarsata","Andrena","Andrenidae"
"Andrena prunorum","Andrena","Andrenidae"
"Anthidium edwardsii","Anthidium","Megachilidae"
"Anthophora neglecta","Anthophora","Apidae"
"Bombus caliginosus","Bombus","Apidae"
"Bombus crotchii","Bombus","Apidae"
"Bombus vosnesenskii","Bombus","Apidae"
"Ceratina tejonensis","Ceratina","Apidae"
"Coelioxys modestus","Coelioxys","Megachilidae"
"Colletes productus","Colletes","Colletidae"
"Colletes thysanellae","Colletes","Colletidae"
"Dianthidium parvum","Dianthidium","Megachilidae"
"Eucera edwardsii","Eucera","Apidae"
"Habropoda cineraria","Habropoda","Apidae"
"Habropoda laboriosa","Habropoda","Apidae"
"Halictus tripartitus","Halictus","Halictidae"
"Hoplitis sambuci","Hoplitis","Megachilidae"
"Lasioglossum incompletum","Lasioglossum","Halictidae"
"Lasioglossum miniatulum","Lasioglossum","Halictidae"
"Lasioglossum puteulanum","Lasioglossum","Halictidae"
"Martinapis luteicornis","Martinapis","Apidae"
"Megachile xylocopoides","Megachile","Megachilidae"
"Melissodes lupinus","Melissodes","Apidae"
"Osmia albolateralis","Osmia","Megachilidae"
"Osmia bruneri","Osmia","Megachilidae"
"Osmia granulosa","Osmia","Megachilidae"
"Osmia integra","Osmia","Megachilidae"
"Stelis montana","Stelis","Megachilidae"
"Xylocopa virginica","Xylocopa","Apidae"
"Agapostemon femoratus","Agapostemon","Halictidae"
"Agapostemon splendens","Agapostemon","Halictidae"
"Ancylandrena larreae","Ancylandrena","Andrenidae"
"Ancylandrena timberlakei","Ancylandrena","Andrenidae"
"Andrena accepta","Andrena","Andrenidae"
"Andrena atlantica","Andrena","Andrenidae"
"Andrena candida","Andrena","Andrenidae"
"Andrena cerasifolii","Andrena","Andrenidae"
"Andrena chlorogaster","Andrena","Andrenidae"
"Andrena crataegi","Andrena","Andrenidae"
"Andrena cressonii","Andrena","Andrenidae"
"Andrena fracta","Andrena","Andrenidae"
"Andrena imitatrix","Andrena","Andrenidae"
"Andrena krigiana","Andrena","Andrenidae"
"Andrena melanochroa","Andrena","Andrenidae"
"Andrena merriami","Andrena","Andrenidae"
"Andrena mesillae","Andrena","Andrenidae"
"Andrena miserabilis","Andrena","Andrenidae"
"Andrena neonana","Andrena","Andrenidae"
"Andrena pallidifovea","Andrena","Andrenidae"
"Andrena palpalis","Andrena","Andrenidae"
"Andrena piperi","Andrena","Andrenidae"
"Andrena principalis","Andrena","Andrenidae"
"Andrena scurra","Andrena","Andrenidae"
"Andrena transnigra","Andrena","Andrenidae"
"Anthidiellum notatum","Anthidiellum","Megachilidae"
"Anthidiellum perplexum","Anthidiellum","Megachilidae"
"Anthidium cockerelli","Anthidium","Megachilidae"
"Anthidium maculosum","Anthidium","Megachilidae"
"Anthidium palmarum","Anthidium","Megachilidae"
"Anthidium porterae","Anthidium","Megachilidae"
"Anthidium utahense","Anthidium","Megachilidae"
"Anthophora californica","Anthophora","Apidae"
"Anthophora centriformis","Anthophora","Apidae"
"Anthophora crotchii","Anthophora","Apidae"
"Anthophora curta","Anthophora","Apidae"
"Anthophora edwardsii","Anthophora","Apidae"
"Anthophora exigua","Anthophora","Apidae"
"Anthophora albata","Anthophora","Apidae"
"Anthophora hololeuca","Anthophora","Apidae"
"Anthophora montana","Anthophora","Apidae"
"Anthophora pacifica","Anthophora","Apidae"
"Anthophora petrophila","Anthophora","Apidae"
"Anthophora porterae","Anthophora","Apidae"
"Anthophora terminalis","Anthophora","Apidae"
"Anthophora urbana","Anthophora","Apidae"
"Anthophora vannigera","Anthophora","Apidae"
"Anthophorula compactula","Anthophorula","Apidae"
"Ashmeadiella breviceps","Ashmeadiella","Megachilidae"
"Ashmeadiella bucconis","Ashmeadiella","Megachilidae"
"Ashmeadiella californica","Ashmeadiella","Megachilidae"
"Ashmeadiella clypeodentata","Ashmeadiella","Megachilidae"
"Ashmeadiella foveata","Ashmeadiella","Megachilidae"
"Ashmeadiella gillettei","Ashmeadiella","Megachilidae"
"Ashmeadiella leucozona","Ashmeadiella","Megachilidae"
"Ashmeadiella opuntiae","Ashmeadiella","Megachilidae"
"Augochlorella aurata","Augochlorella","Halictidae"
"Augochlorella gratiosa","Augochlorella","Halictidae"
"Augochlorella neglectula","Augochlorella","Halictidae"
"Augochloropsis anonyma","Augochloropsis","Halictidae"
"Augochloropsis metallica","Augochloropsis","Halictidae"
"Augochloropsis sumptuosa","Augochloropsis","Halictidae"
"Bombus appositus","Bombus","Apidae"
"Bombus vancouverensis","Bombus","Apidae"
"Bombus californicus","Bombus","Apidae"
"Bombus centralis","Bombus","Apidae"
"Bombus fervidus","Bombus","Apidae"
"Bombus flavifrons","Bombus","Apidae"
"Bombus fraternus","Bombus","Apidae"
"Bombus griseocollis","Bombus","Apidae"
"Bombus huntii","Bombus","Apidae"
"Bombus impatiens","Bombus","Apidae"
"Bombus melanopygus","Bombus","Apidae"
"Bombus mixtus","Bombus","Apidae"
"Bombus morrisoni","Bombus","Apidae"
"Bombus nevadensis","Bombus","Apidae"
"Bombus occidentalis","Bombus","Apidae"
"Bombus sonorus","Bombus","Apidae"
"Bombus pensylvanicus","Bombus","Apidae"
"Bombus rufocinctus","Bombus","Apidae"
"Bombus sitkensis","Bombus","Apidae"
"Bombus vandykei","Bombus","Apidae"
"Bombus variabilis","Bombus","Apidae"
"Calliopsis callops","Calliopsis","Andrenidae"
"Calliopsis fracta","Calliopsis","Andrenidae"
"Calliopsis helianthi","Calliopsis","Andrenidae"
"Calliopsis puellae","Calliopsis","Andrenidae"
"Calliopsis rozeni","Calliopsis","Andrenidae"
"Calliopsis subalpina","Calliopsis","Andrenidae"
"Centris atripes","Centris","Apidae"
"Centris cockerelli","Centris","Apidae"
"Centris hoffmanseggiae","Centris","Apidae"
"Centris pallida","Centris","Apidae"
"Centris rhodopus","Centris","Apidae"
"Ceratina acantha","Ceratina","Apidae"
"Ceratina apacheorum","Ceratina","Apidae"
"Ceratina arizonensis","Ceratina","Apidae"
"Ceratina nanula","Ceratina","Apidae"
"Ceratina pacifica","Ceratina","Apidae"
"Coelioxys dolichos","Coelioxys","Megachilidae"
"Coelioxys germanus","Coelioxys","Megachilidae"
"Coelioxys hirsutissimus","Coelioxys","Megachilidae"
"Coelioxys mexicanus","Coelioxys","Megachilidae"
"Coelioxys octodentatus","Coelioxys","Megachilidae"
"Coelioxys rufitarsis","Coelioxys","Megachilidae"
"Coelioxys sayi","Coelioxys","Megachilidae"
"Coelioxys texanus","Coelioxys","Megachilidae"
"Colletes banksi","Colletes","Colletidae"
"Colletes brimleyi","Colletes","Colletidae"
"Colletes cercidii","Colletes","Colletidae"
"Colletes clypeonitens","Colletes","Colletidae"
"Colletes consors","Colletes","Colletidae"
"Colletes covilleae","Colletes","Colletidae"
"Colletes fulgidus","Colletes","Colletidae"
"Colletes hyalinus","Colletes","Colletidae"
"Colletes larreae","Colletes","Colletidae"
"Colletes louisae","Colletes","Colletidae"
"Colletes lutzi","Colletes","Colletidae"
"Colletes mandibularis","Colletes","Colletidae"
"Colletes nudus","Colletes","Colletidae"
"Colletes perileucus","Colletes","Colletidae"
"Colletes phaceliae","Colletes","Colletidae"
"Colletes salicicola","Colletes","Colletidae"
"Colletes simulans","Colletes","Colletidae"
"Colletes stepheni","Colletes","Colletidae"
"Colletes wootoni","Colletes","Colletidae"
"Conanthalictus bakeri","Conanthalictus","Halictidae"
"Diadasia afflictula","Diadasia","Apidae"
"Diadasia australis","Diadasia","Apidae"
"Diadasia bituberculata","Diadasia","Apidae"
"Diadasia diminuta","Diadasia","Apidae"
"Diadasia enavata","Diadasia","Apidae"
"Diadasia lutzi","Diadasia","Apidae"
"Diadasia martialis","Diadasia","Apidae"
"Diadasia ochracea","Diadasia","Apidae"
"Diadasia rinconis","Diadasia","Apidae"
"Diadasia sphaeralcearum","Diadasia","Apidae"
"Diadasia tuberculifrons","Diadasia","Apidae"
"Diadasia vallicola","Diadasia","Apidae"
"Dianthidium curvatum","Dianthidium","Megachilidae"
"Dianthidium dubium","Dianthidium","Megachilidae"
"Dianthidium heterulkei","Dianthidium","Megachilidae"
