"Compound","Exposure_Type_simple","mean_ld50","median_ld50","sd_ld50","n"
"Cyfluthrin","Dermal",36.35,36.35,44.3355951803965,2
"Cyhalothrin-Gamma","Dermal",18.05,18.05,16.8998520703585,2
"Cypermethrin","Dermal",190,185,57.1547606649408,4
"Cypermethrin","Food",244,151,212.081745246183,4
"Deltamethrin","Dermal",16158.7928571429,51,42350.8565671584,7
"Deltamethrin","Food",301.2,191,336.949669832158,7
"Fenvalerate","Dermal",6.3,6.3,NA,1
"Fluvalinate","Dermal",980,970,663.525935187666,4
"Fluvalinate","Food",830,830,NA,1
"Fluvalinate-Tau","Dermal",12433.3333333333,9450,6418.00851770495,3
"Permethrin","Dermal",53,25,49.3659801887899,3
"Permethrin","Food",205.5,205.5,105.358910396796,2
"Resmethrin","Dermal",49.75,54,26.4244205234476,4
"Resmethrin","Food",69,69,NA,1
"Tefluthrin","Dermal",170,170,NA,1
"Tefluthrin","Food",1740,1740,NA,1
"Tralomethrin","Dermal",90.5,90.5,50.2045814642449,2
