Crop, Land_Cover,
African eggplant (Solanaceae),,
Alfalfa,Alfalfa,
Almonds,Almonds,
"Amaranth
(Amaranthaceae)",,
Angelica (Apiaceae),,
"Anise, badian, fennel, corian, juniper berries",,
Annatto (Bixaceae),,
Apples,Apples,
Apricots,Apricots,
Aronia berry (Rosaceae),,
"Arracha (PR) Arracacia xanthorrhiza
(Apiaceae)",,
"Arrowroot
Maranta arundinacea
(Marantaceae)",,
Artichokes,,
Arugula (Brassicaceae),,
Asian pear (Rosaceae),,
Asparagus,Asparagus,
Avocados,Avocados,
Azarole (Rosaceae),,
Bananas,,
Barley,Barley,
Basil (Lamiaceae),,
"Bayberry
(Myricaceae)",,
"Bean (lupinus)
(Fabaceae)",,
Bean (vigna) (Fabaceae),,
Beans,Dry Beans,
Bearberry (Ericaceae),,
Beechnut (Fagaceae),,
Bell pepper (Solanaceae),,
Bilberry (Ericaceae),,
Black caraway (Ranunculaceae),,
Blackberry (Rosaceae),,
Blueberries,Blueberries,
"Borage
(Boraginaceae)",,
Borage (Boraginaceae),,Cabbage
Brazil nut (Lecythidaceae),,Camelina
"Broad beans, horse
beans, dry",,Caneberries
Brussels sprouts (Brassicaceae),,Cantaloupes
Buckwheat,Buckwheat,Christmas Trees
"Buffaloberry
(Elaeagnaceae)",,Clover/Wildflowers
Bur oak (Fagaceae),,
Burnet (Rosaceae),,Greens
Bush tomato (Solanaceae),,Herbs
"Butternut
(Juglandaceae)",,Honeydew Melons
Cabbages and other brassica,,Peppers
Calamondin (Rutaceae),,Pomegranates
Calendula (Asteraceae),,Pop or Orn Corn
Camomille (Asteraceae),,Prunes
"Candlenut
(Euphorbiaceae)",,Misc Vegs & Fruits
Caper buds (Capparaceae),,Speltz
Capulin (Rosaceae),,
Cardoon (Asteraceae),,
Carobs,,
Carrots,Carrots,
Cashew (PR)(Anacardiaceae),,
Cassava (Euphorbiaceae),,
Castor oil seed,,
Catnip (Lamiaceae),,Dbl Crop Barley/Corn
Cauliflowers and broccoli,Cauliflower,Dbl Crop Barley/Sorghum
Cauliflowers and broccoli,Broccoli,
Cavalo broccolo (Brassicaceae),,Dbl Crop Barley/Soybeans
Celery (Apiaceae),Celery,Dbl Crop Corn/Soybeans
"Celery seed
(Apiaceae)",,Dbl Crop Durum Wht/Sorghum
Celtuce (Asteraceae),,Dbl Crop Lettuce/Barley
Chayote (Cucurbitaceae),,Dbl Crop Lettuce/Cantaloupe
