"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Aedes aegypti|Yellow Fever Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||7.14||6.33||8.07|mg/L|||||||||||||||||Mortality|Mortality|LD50||7.14||6.33||8.07|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Aedes aegypti|Yellow Fever Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||12.57||11.56||13.63|mg/L|||||||||||||||||Mortality|Mortality|LD50||12.57||11.56||13.63|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Aedes aegypti|Yellow Fever Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||41.60||35.22||51.70|mg/L|||||||||||||||||Mortality|Mortality|LD95||41.60||35.22||51.70|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Aedes aegypti|Yellow Fever Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||24.54||17.77||34.62|mg/L|||||||||||||||||Mortality|Mortality|LD95||24.54||17.77||34.62|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Larva||2||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Development|Metamorphosis|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||10||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||2||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||5||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||4||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Larva||2||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Development|Emergence|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||10||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Pupa||2||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Development|Emergence|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||NR||NR||NR|Pupa to adult|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||3||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||25/||NR/||NR/|||AI g/ha|Not reported||1||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aenasius arizonensis|Endoparasitoid|Insects/Spiders|Adult||1||NR||NR|Day(s)|Environmental, unspecified|No substrate|Lab|2|Active ingredient||25/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|NR-LETH||25/||NR/||NR/|||AI g/ha|Not reported||2||NR||NR|Day(s)|Nidheesh,T.D., A.N. Shylesha, and K. Sharma|187553|Effect of Some Insecticides on Aenasius arizonensis (Girault) Parasitizing Cotton Mealybug Phenacoccus solenopsis Tinsley|Indian J. Entomol.82(4): 731-734|2020|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Aleurotulus sp.|Whitefly|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Field natural|2|Formulation||0.008/||NR/||NR/|%|||||||||||||||||Mortality|Mortality|NR||0.008/||NR/||NR/|||%|Not reported||NR||23||35|Day(s)|Ghelani,M.K., B.B. Kabaria, and S.K. Chhodavadia|183624|Field Efficacy of Various Insecticides Against Major Sucking Pests of Bt Cotton|J. Biopestic.7:27-32|2014|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Ambrosiodmus lecontei|Ambrosia Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Natural soil|Field natural|2|Formulation||12/||NR/||NR/|g/gal|||||||||||||||||Population|Abundance|NOEL||12/||NR/||NR/|||g/gal|Not reported||90||NR||NR|Day(s)|Pena,J.E., J.H. Crane, J.L. Capinera, R.E. Duncan, P.E. Kendra, R.C. Ploetz, S. McLean, G. Brar, M.C. Thomas, and R.D. |156617|Chemical Control of the Redbay Ambrosia Beetle, Xyleborus glabratus, and Other Scolytinae (Coleoptera: Curculionidae)|Fla. Entomol.94(4): 882-896|2011|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Not reported|Unmeasured||20||NR||NR|Anobiidae|Beetle Family|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Natural soil|Field natural|2|Formulation||12/||NR/||NR/|g/gal|||||||||||||||||Population|Abundance|NOEL||12/||NR/||NR/|||g/gal|Not reported||90||NR||NR|Day(s)|Pena,J.E., J.H. Crane, J.L. Capinera, R.E. Duncan, P.E. Kendra, R.C. Ploetz, S. McLean, G. Brar, M.C. Thomas, and R.D. |156617|Chemical Control of the Redbay Ambrosia Beetle, Xyleborus glabratus, and Other Scolytinae (Coleoptera: Curculionidae)|Fla. Entomol.94(4): 882-896|2011|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Anopheles gambiae|Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||0.30||0.26||0.36|mg/L|||||||||||||||||Mortality|Mortality|LD50||0.30||0.26||0.36|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Anopheles gambiae|Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||0.18||0.16||0.19|mg/L|||||||||||||||||Mortality|Mortality|LD50||0.18||0.16||0.19|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
165252700|N''-Methyl-N-nitro-N'-[(tetrahydro-3-furanyl)methyl]guanidine|Technical grade, technical product, technical formulation|Unmeasured||89.8||NR||NR|Anopheles gambiae|Mosquito|Insects/Spiders; Standard Test Species|Adult||NR||2||5|Day(s)|Dermal|No substrate|Lab|>=5|Active ingredient||0.73||0.63||0.88|mg/L|||||||||||||||||Mortality|Mortality|LD95||0.73||0.63||0.88|||mg/L|Not reported||1||NR||NR|Day(s)|Corbel,V., S. Duchon, M. Zaim, and J.M. Hougard|101016|Dinotefuran: A Potential Neonicotinoid Insecticide Against Resistant Mosquitoes|J. Med. Entomol.41(4): 712-717|2004|
