"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Trichogramma chilonis|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||65.56||52.54||85.10|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||65.56||52.54||85.10|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., L. Chen, X. An, J. Jiang, Q. Wang, L. Cai, and X. Zhao|163186|Susceptibility to Selected Insecticides and Risk Assessment in the Insect Egg Parasitoid Trichogramma confusum (Hymenoptera: Trichogrammatidae)|J. Econ. Entomol.106(1): 142-149|2013|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Trichogramma chilonis|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||635.4||378.9||1391|AI mg/L|||||||||||||||||Mortality|Mortality|LC95||635.4||378.9||1391|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., L. Chen, X. An, J. Jiang, Q. Wang, L. Cai, and X. Zhao|163186|Susceptibility to Selected Insecticides and Risk Assessment in the Insect Egg Parasitoid Trichogramma confusum (Hymenoptera: Trichogrammatidae)|J. Econ. Entomol.106(1): 142-149|2013|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Trichogramma evanescens|Parasitic Wasp|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|No substrate|Lab|7|Active ingredient||239.1||185.6||336.4|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||239.1||185.6||336.4|||AI mg/L|Not reported||1.0417||NR||NR|Day(s)|Wang,Y., C. Wu, T. Cang, L. Yang, W. Yu, X. Zhao, Q. Wang, and L. Cai|173922|Toxicity Risk of Insecticides to the Insect Egg Parasitoid Trichogramma evanescens Westwood (Hymenoptera: Trichogrammatidae)|Pest Manag. Sci.70(3): 398-404|2014|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Trichogramma evanescens|Parasitic Wasp|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|No substrate|Lab|7|Active ingredient||NR/|>|2500/|<|3000/|AI mg/L|||||||||||||||||Mortality|Mortality|LC95||NR/|>|2500/|<|3000/|||AI mg/L|Not reported||1.0417||NR||NR|Day(s)|Wang,Y., C. Wu, T. Cang, L. Yang, W. Yu, X. Zhao, Q. Wang, and L. Cai|173922|Toxicity Risk of Insecticides to the Insect Egg Parasitoid Trichogramma evanescens Westwood (Hymenoptera: Trichogrammatidae)|Pest Manag. Sci.70(3): 398-404|2014|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma japonicum|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||80.66||71.58||92.10|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||80.66||71.58||92.10|||AI mg/L|Not reported||1||NR||NR|Day(s)|Zhao,X., C. Wu, Y. Wang, T. Cang, L. Chen, R. Yu, and Q. Wang|157945|Assessment of Toxicity Risk of Insecticides Used in Rice Ecosystem on Trichogramma japonicum, an Egg Parasitoid of Rice Lepidopterans|J. Econ. Entomol.105(1): 92-101|2012|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma japonicum|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||1075.7||783.0||1584.2|AI mg/L|||||||||||||||||Mortality|Mortality|LC95||1075.7||783.0||1584.2|||AI mg/L|Not reported||1||NR||NR|Day(s)|Zhao,X., C. Wu, Y. Wang, T. Cang, L. Chen, R. Yu, and Q. Wang|157945|Assessment of Toxicity Risk of Insecticides Used in Rice Ecosystem on Trichogramma japonicum, an Egg Parasitoid of Rice Lepidopterans|J. Econ. Entomol.105(1): 92-101|2012|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma nubilale|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|6|Active ingredient||75.27||67.86||84.37|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||75.27||67.86||84.37|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., R. Yu, X. Zhao, L. Chen, C. Wu, T. Cang, and Q. Wang|157988|Susceptibility of Adult Trichogramma nubilale (Hymenoptera: Trichogrammatidae) to Selected Insecticides with Different Modes of Action|Crop Prot.34:76-82|2012|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma nubilale|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|6|Active ingredient||636.5||493.2||865.2|AI mg/L|||||||||||||||||Mortality|Mortality|LC95||636.5||493.2||865.2|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., R. Yu, X. Zhao, L. Chen, C. Wu, T. Cang, and Q. Wang|157988|Susceptibility of Adult Trichogramma nubilale (Hymenoptera: Trichogrammatidae) to Selected Insecticides with Different Modes of Action|Crop Prot.34:76-82|2012|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma ostriniae|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||183.4||164.1||208.4|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||183.4||164.1||208.4|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., L. Chen, R. Yu, X. Zhao, C. Wu, T. Cang, and Q. Wang|163185|Insecticide Toxic Effects on Trichogramma ostriniae (Hymenoptera: Trichogrammatidae)|Pest Manag. Sci.68(12): 1564-1571|2012|
105843365|1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Trichogramma ostriniae|Parasitic Wasp|Insects/Spiders|Adult||NR||24||48|Hours post-emergence|Environmental, unspecified|No substrate|Lab|7|Active ingredient||1267.9||972.4||1752.2|AI mg/L|||||||||||||||||Mortality|Mortality|LC95||1267.9||972.4||1752.2|||AI mg/L|Not reported||1||NR||NR|Day(s)|Wang,Y., L. Chen, R. Yu, X. Zhao, C. Wu, T. Cang, and Q. Wang|163185|Insecticide Toxic Effects on Trichogramma ostriniae (Hymenoptera: Trichogrammatidae)|Pest Manag. Sci.68(12): 1564-1571|2012|
