"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Measured||20||NR||NR|Acrolepia sapporensis|Sedge Moth|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Field natural|3|Active ingredient||NR|>|0|<|3|mg/kg|||||||||||||||||Population|Abundance|LOEL||NR|>|0|<|3|||mg/kg|Not reported|~|91.32||NR||NR|Day(s)|Zhang,P., M. He, Y. Zhao, Y. Ren, Y. Wei, W. Mu, and F. Liu|183471|Dissipation Dynamics of Clothianidin and Its Control Efficacy Against Bradysia odoriphaga Yang and Zhang in Chinese Chive Ecosystems|Pest Manag. Sci.72:1396-1404|2016|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Direct application|No substrate|Lab|>=6|Formulation||0.07||0.05||0.08|%|||||||||||||||||Mortality|Mortality|LC50||0.07||0.05||0.08|||%|Not reported|<=|301||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, J.H. Tolman, and H.O. Saavedra|108458|Mortality of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), After Topical Application of Various Insecticides|J. Econ. Entomol.101(2): 375-383|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Direct application|No substrate|Lab|>=6|Formulation||0.15||0.11||0.19|%|||||||||||||||||Mortality|Mortality|LC90||0.15||0.11||0.19|||%|Not reported|<=|301||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, J.H. Tolman, and H.O. Saavedra|108458|Mortality of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), After Topical Application of Various Insecticides|J. Econ. Entomol.101(2): 375-383|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Direct application|No substrate|Lab|2|Formulation||0.25||NR||NR|%|||||||||||||||||Mortality|Survival|LT50||0.25||NR||NR|||%|Not reported||80.5||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, J.H. Tolman, and H.O. Saavedra|108458|Mortality of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), After Topical Application of Various Insecticides|J. Econ. Entomol.101(2): 375-383|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Direct application|No substrate|Lab|2|Formulation||0.25||NR||NR|%|||||||||||||||||Mortality|Survival|LT90||0.25||NR||NR|||%|Not reported||122.5||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, J.H. Tolman, and H.O. Saavedra|108458|Mortality of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), After Topical Application of Various Insecticides|J. Econ. Entomol.101(2): 375-383|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured|>|95||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Environmental, unspecified|Filter paper|Lab|2|Active ingredient||1.0||NR||NR|%|||||||||||||||||Avoidance|Chemical avoidance|NOEL||1.0||NR||NR|||%|Not reported||.0139||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, and B.D. Roitberg|108459|Repellency of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), on Exposure to Synthetic Insecticides in a Soil-Less Bioassay|Environ. Entomol.37(2): 534-545|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured|>|95||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Environmental, unspecified|Filter paper|Lab|2|Active ingredient||1.0||NR||NR|%|||||||||||||||||Avoidance|Chemical avoidance|NOEL||1.0||NR||NR|||%|Not reported||.0139||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, and B.D. Roitberg|108459|Repellency of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), on Exposure to Synthetic Insecticides in a Soil-Less Bioassay|Environ. Entomol.37(2): 534-545|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Environmental, unspecified|Filter paper|Lab|4|Formulation||10.0||NR||NR|%|||||||||||||||||Avoidance|Chemical avoidance|NOEL||10.0||NR||NR|||%|Not reported||.0139||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, and B.D. Roitberg|108459|Repellency of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), on Exposure to Synthetic Insecticides in a Soil-Less Bioassay|Environ. Entomol.37(2): 534-545|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured||NR||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Environmental, unspecified|Filter paper|Lab|4|Formulation||10.0||NR||NR|%|||||||||||||||||Avoidance|Chemical avoidance|NOEL||10.0||NR||NR|||%|Not reported||.0139||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, and B.D. Roitberg|108459|Repellency of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), on Exposure to Synthetic Insecticides in a Soil-Less Bioassay|Environ. Entomol.37(2): 534-545|2008|
210880925|[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine|Not reported|Unmeasured|>|95||NR||NR|Agriotes obscurus|Wireworm|Insects/Spiders|Larva||NR||3||4|Year(s)|Environmental, unspecified|Filter paper|Lab|2|Active ingredient||1.0||NR||NR|%|||||||||||||||||Avoidance|Chemical avoidance|NOEL||1.0||NR||NR|||%|Not reported||.0139||NR||NR|Day(s)|Van Herk,W.G., R.S. Vernon, and B.D. Roitberg|108459|Repellency of a Wireworm, Agriotes obscurus (Coleoptera: Elateridae), on Exposure to Synthetic Insecticides in a Soil-Less Bioassay|Environ. Entomol.37(2): 534-545|2008|
