"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||30||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, foliar|Natural soil|Field natural|2|Formulation||5.3/||NR/||NR/|oz/acre|||||||||||||||||Population|Control|LOEL||5.3/||NR/||NR/|||oz/acre|Not reported||2||NR||NR|Day(s)|Nixon,K.L.|175435|Potential Impact of Neonicotinoid Insecticides on Honey Bees (Apis mellifera) in Muskmelon Production|M.S.Thesis, Purdue University, West Lafayette, IN:71 p.|2014|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||70||NR||NR|Acerophagus flavidulus|Parasitoid Wasp|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Lab|6|Active ingredient||0.42||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LOEL||0.42||NR||NR|||AI mg/L|Not reported||1||NR||NR|Day(s)|Radrigan-Navarro,C., E.H. Beers, A. Alvear, and E. Fuentes-Contreras|187340|Acute Toxicity of Lethal and Sublethal Concentrations of Neonicotinoid, Insect Growth Regulator and Diamide Insecticides on Natural Enemies of the Woolly Apple Aphid and the Obscure Mealybug|Chil. J. Agric. Res.81(3): 398-407|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Adalia bipunctata|Two Spotted Lady Beetle|Insects/Spiders|Larva||4||NR||NR|Instar|Topical, general|No substrate|Lab|6|Active ingredient||222.65||154.96||487.86|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||222.65||154.96||487.86|||AI mg/L|Not reported||1||NR||NR|Day(s)|Amirzade,N., H. Izadi, M.A. Jalali, and H. Zohdi|169059|Evaluation of Three Neonicotinoid Insecticides Against the Common Pistachio Psylla, Agonoscena pistaciae, and Its Natural Enemies|J. Insect Sci.14(35): 8 p.|2014|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Adalia bipunctata|Two Spotted Lady Beetle|Insects/Spiders|Larva||4||NR||NR|Instar|Topical, general|No substrate|Lab|6|Active ingredient||480||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LOEL||480||NR||NR|||AI mg/L|Not reported||1||NR||NR|Day(s)|Amirzade,N., H. Izadi, M.A. Jalali, and H. Zohdi|169059|Evaluation of Three Neonicotinoid Insecticides Against the Common Pistachio Psylla, Agonoscena pistaciae, and Its Natural Enemies|J. Insect Sci.14(35): 8 p.|2014|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Adalia bipunctata|Two Spotted Lady Beetle|Insects/Spiders|Larva||1||NR||NR|Instar|Environmental, unspecified|Filter paper|Lab|2|Formulation||0.025/||NR/||NR/|%|||||||||||||||||Mortality|Mortality|NR||0.025/||NR/||NR/|||%|Not reported||.5||NR||NR|Day(s)|Holy,K., and J. Stara|185343|Laboratory Evaluation of the Effect of Insecticides on Chrysoperla carnea (Neuroptera: Chrysopidae), Forficula auricularia (Dermaptera: Forficulidae), Adalia bipunctata (Coleoptera: Coccinellidae) and Harmonia axyridis |Acta Univ. Agric. Silvic. Mend. Brun.68(3): 497-506|2020|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Technical grade, technical product, technical formulation|Unmeasured||97||NR||NR|Adelphocoris lineolatus|Alfalfa Plant Bug|Insects/Spiders|Nymph||2||NR||NR|Instar|Environmental, unspecified|Natural soil|Lab|'5-8|Active ingredient||2.30||1.62||3.27|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||2.30||1.62||3.27|||AI mg/L|Not reported||2||NR||NR|Day(s)|Liu,Y.Q., B. Liu, A. Ali, S.P. Luo, Y.H. Lu, and G.M. Liang|174205|Insecticide Toxicity to Adelphocoris lineolatus (Hemiptera: Miridae) and its Nymphal Parasitoid Peristenus spretus (Hymenoptera: Braconidae)|J. Econ. Entomol.108(4): 1779-1785|2015|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||NR||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Spray, unspecified|Litter|Lab|4|Active ingredient||11.92/||NR/||NR/|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||11.92/||NR/||NR/|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, H.S. Namaghi, M. Basirat, and A. Alizadeh|187423|Energetic Costs of Resistance in the Agonoscena pistaciae Burckhardt & Lauterer, 1989 (Hemiptera: Aphalaridae), Against Spirotetramat, Acetamiprid and Hexaflumuron|Pol. J. Entomol.90(1): 1-13|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||NR||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Spray, unspecified|Litter|Lab|4|Active ingredient||40.55/||NR/||NR/|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||40.55/||NR/||NR/|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, H.S. Namaghi, M. Basirat, and A. Alizadeh|187423|Energetic Costs of Resistance in the Agonoscena pistaciae Burckhardt & Lauterer, 1989 (Hemiptera: Aphalaridae), Against Spirotetramat, Acetamiprid and Hexaflumuron|Pol. J. Entomol.90(1): 1-13|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||1||NR||NR|Day(s)|Spray, unspecified|Litter|Lab|6|Active ingredient||28.79||23.08||35.76|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||28.79||23.08||35.76|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|185073|Variation in Insecticidal Susceptibility of Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Aphalaridae), and Its Coccinellid Predator, Oenopia conglobata L. (Coleoptera: Coccinellidae)|J. Kans. Entomol. Soc.91(2): 110-118|2018|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||1||NR||NR|Day(s)|Spray, unspecified|Litter|Lab|6|Active ingredient||11.92||8.42||18.20|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||11.92||8.42||18.20|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|185073|Variation in Insecticidal Susceptibility of Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Aphalaridae), and Its Coccinellid Predator, Oenopia conglobata L. (Coleoptera: Coccinellidae)|J. Kans. Entomol. Soc.91(2): 110-118|2018|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||1||NR||NR|Day(s)|Spray, unspecified|Litter|Lab|6|Active ingredient||26.01||18.03||38.10|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||26.01||18.03||38.10|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|185073|Variation in Insecticidal Susceptibility of Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Aphalaridae), and Its Coccinellid Predator, Oenopia conglobata L. (Coleoptera: Coccinellidae)|J. Kans. Entomol. Soc.91(2): 110-118|2018|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Dipped or soaked|No substrate|Lab|6|Active ingredient||60.7||33.44||109.30|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||60.7||33.44||109.30|||AI mg/L|Not reported||1||NR||NR|Day(s)|Amirzade,N., H. Izadi, M.A. Jalali, and H. Zohdi|169059|Evaluation of Three Neonicotinoid Insecticides Against the Common Pistachio Psylla, Agonoscena pistaciae, and Its Natural Enemies|J. Insect Sci.14(35): 8 p.|2014|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||1||NR||NR|Day(s)|Spray, unspecified|Litter|Lab|6|Active ingredient||20.32||14.88||26.99|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||20.32||14.88||26.99|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|185073|Variation in Insecticidal Susceptibility of Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Aphalaridae), and Its Coccinellid Predator, Oenopia conglobata L. (Coleoptera: Coccinellidae)|J. Kans. Entomol. Soc.91(2): 110-118|2018|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||1||NR||NR|Day(s)|Spray, unspecified|Litter|Lab|6|Active ingredient||40.55||32.27||49.17|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||40.55||32.27||49.17|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|185073|Variation in Insecticidal Susceptibility of Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Aphalaridae), and Its Coccinellid Predator, Oenopia conglobata L. (Coleoptera: Coccinellidae)|J. Kans. Entomol. Soc.91(2): 110-118|2018|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||NR||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Spray, unspecified|Litter|Lab|4|Active ingredient||3||NR||NR|AI mg/L|||||||||||||||||Biochemistry|Lipid|LOEL||3||NR||NR|||AI mg/L|Whole organism||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, H.S. Namaghi, M. Basirat, and A. Alizadeh|187423|Energetic Costs of Resistance in the Agonoscena pistaciae Burckhardt & Lauterer, 1989 (Hemiptera: Aphalaridae), Against Spirotetramat, Acetamiprid and Hexaflumuron|Pol. J. Entomol.90(1): 1-13|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||NR||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Spray, unspecified|Litter|Lab|4|Active ingredient||3||NR||NR|AI mg/L|||||||||||||||||Enzyme(s)|Esterase|LOEL||3||NR||NR|||AI mg/L|Not reported||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, and H. Sadeghi-Namaghi|187279|Detoxifying Enzyme Activities in the Common Pistachio Psylla and the Coccinellid Predator|J. Agric. Sci. Technol.23(3): 575-587|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||NR||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Spray, unspecified|Litter|Lab|4|Active ingredient||70||NR||NR|AI mg/L|||||||||||||||||Biochemistry|Sugar content|LOEL||70||NR||NR|||AI mg/L|Whole organism||1||NR||NR|Day(s)|Bemani,M., G. Moravvej, H. Izadi, H.S. Namaghi, M. Basirat, and A. Alizadeh|187423|Energetic Costs of Resistance in the Agonoscena pistaciae Burckhardt & Lauterer, 1989 (Hemiptera: Aphalaridae), Against Spirotetramat, Acetamiprid and Hexaflumuron|Pol. J. Entomol.90(1): 1-13|2021|
135410207|(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide|Not reported|Unmeasured||20||NR||NR|Agonoscena pistaciae|Pistachio Psyllid|Insects/Spiders|Nymph||5||NR||NR|Instar|Dipped or soaked|No substrate|Lab|6|Active ingredient||20||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LOEL||20||NR||NR|||AI mg/L|Not reported||1||NR||NR|Day(s)|Amirzade,N., H. Izadi, M.A. Jalali, and H. Zohdi|169059|Evaluation of Three Neonicotinoid Insecticides Against the Common Pistachio Psylla, Agonoscena pistaciae, and Its Natural Enemies|J. Insect Sci.14(35): 8 p.|2014|
