"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Abelmoschus esculentus|Okra|Flowers, Trees, Shrubs, Ferns|Not reported||35||NR||NR|Days post planting/sowing|Spray, hand|Natural soil|Field natural|2|Formulation||0.015/||NR/||NR/|%|||||||||||||||||Population|Biomass|NOEL||0.015/||NR/||NR/|||%|Not reported||NR||NR||NR|Harvest|Ahmad,H., and S.M.A. Rizvi|89018|Efficacy of Pyrethroids and Some Conventional Insecticides Against Earias vitella in Okra|Indian J. Plant Prot.22(1): 65-68|1994|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||0.005||NR||NR|Abelmoschus esculentus|Okra|Flowers, Trees, Shrubs, Ferns|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||500||NR||NR|L/ha|||||||||||||||||Population|Biomass|NOEL||500||NR||NR|||L/ha|Fruit||NR||NR||NR|Growing season|Shukla,A., S.C. Pathak, and R.K. Agrawal|92998|Efficacy and Economics of Some Insecticides and Plant Products Against the Infestation of Okra Shoot and Fruit Borer, Earias vittella Fab.|Crop Res. (Hisar)12(3): 367-373|1996|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||0.1/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|NOEL||0.1/||NR/||NR/|||AI lb/acre|Not reported||9||NR||NR|Day(s)|McLeod,P.|88802|Insect Control in Zucchini, 1985|Insectic. Acaric. Tests11:202-|1986|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acherontia styx|Death's-head Hawkmoth|Insects/Spiders|Egg||NR||NR||NR|Not reported|Spray, foliar|No substrate|Field natural|2|Active ingredient||100/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Hatch|LOEL||100/||NR/||NR/|||AI g/ha|Not reported||6||NR||NR|Day(s)|Goel,S.C., and S. Kumar|154388|Ovicidal Action of Synthetic Pyrethroids on the Eggs of Bihar Hairy Caterpillar, Spilosoma obliqua (Walker) and Sesamum sphinx, Acherontia styx (West Wood)|Entomon16(3): 237-239|1991|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acherontia styx|Death's-head Hawkmoth|Insects/Spiders|Larva||NR||NR||NR|Not reported|Food|Litter|Lab|2|Active ingredient||100/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||100/||NR/||NR/|||AI g/ha|Not reported||1||NR||NR|Day(s)|Goel,S.C., and S. Kumar|92539|Efficacy of Synthetic Pyrethroids and Quinalphos Against Bihar Hairy Caterpillar, Spilosoma obliqua (Walker) and Sesamum Sphinx, Acherontia styx (Westwood) Infesting Sesamum (Sesamum indicum L.)|J. Entomol. Res.15(1): 15-19|1991|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acherontia styx|Death's-head Hawkmoth|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, foliar|No substrate|Field natural|2|Active ingredient||100/||NR/||NR/|AI g/ha|||||||||||||||||Population|Abundance|LOEL||100/||NR/||NR/|||AI g/ha|Not reported||NR||5||35|Day(s)|Goel,S.C., and S. Kumar|92539|Efficacy of Synthetic Pyrethroids and Quinalphos Against Bihar Hairy Caterpillar, Spilosoma obliqua (Walker) and Sesamum Sphinx, Acherontia styx (Westwood) Infesting Sesamum (Sesamum indicum L.)|J. Entomol. Res.15(1): 15-19|1991|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Technical grade, technical product, technical formulation|Unmeasured||95.5||NR||NR|Acyrthosiphon kondoi|Blue Alfalfa Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|6|Active ingredient||0.071||NR||NR|mg/kg|||||||||||||||||Mortality|Mortality|LD50||0.071||NR||NR|||mg/kg|Not reported||1||NR||NR|Day(s)|Syrett,P., and D.R. Penman|71017|Studies of Insecticide Toxicity to Lucerne Aphids and Their Predators|N. Z. J. Agric. Res.23:575-580|1980|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Technical grade, technical product, technical formulation|Unmeasured||95.5||NR||NR|Acyrthosiphon pisum|Pea Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|6|Active ingredient||0.033||NR||NR|mg/kg|||||||||||||||||Mortality|Mortality|LD50||0.033||NR||NR|||mg/kg|Not reported||1||NR||NR|Day(s)|Syrett,P., and D.R. Penman|71017|Studies of Insecticide Toxicity to Lucerne Aphids and Their Predators|N. Z. J. Agric. Res.23:575-580|1980|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acyrthosiphon pisum|Pea Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, ground|No substrate|Field natural|3|Active ingredient||0.05||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.05||NR||NR|||AI lb/acre|Not reported||7||NR||NR|Day(s)|Watrin,C.G., and E.B. Radcliffe|88714|Alfalfa Insect Control in Minnesota, 1986|Insectic. Acaric. Tests12:177-|1987|
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Adalia bipunctata|Two Spotted Lady Beetle|Insects/Spiders|Adult||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|NR|Active ingredient||0.022||0.008||0.041|ug/g|||||||||||||||||Mortality|Mortality|LD50||0.022||0.008||0.041|||ug/g|Not reported||1||NR||NR|Day(s)|Coats,S.A., J.R. Coats, and C.R. Ellis|108375|Selective Toxicity of Three Synthetic Pyrethroids to Eight Coccinellids, a Eulophid Parasitoid, and Two Pest Chrysomelids|Environ. Entomol.8:720-722|1979|
