"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||0.05/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|NOEL||0.05/||NR/||NR/|||AI lb/acre|Not reported||9||NR||NR|Day(s)|McLeod,P.|88802|Insect Control in Zucchini, 1985|Insectic. Acaric. Tests11:202-|1986|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acanthaspis pedestris|Assasin Bug|Insects/Spiders|Adult||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|2|Active ingredient||50||NR||NR|AI g/ha|||||||||||||||||Feeding behavior|Predatory  behavior|LOEL||50||NR||NR|||AI g/ha|Not reported||1||NR||NR|Day(s)|Claver,M.A., B. Ravichandran, M.M. Khan, and D.P. Ambrose|68411|Impact of Cypermethrin on the Functional Response, Predatory and Mating Behaviour of a Non-target Potential Biological Control Agent Acanthaspis pedestris (Stal) (Het., Reduviidae)|J. Appl. Entomol.127(1): 18-22|2003|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acanthaspis pedestris|Assasin Bug|Insects/Spiders|Adult||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|2|Active ingredient||50||NR||NR|AI g/ha|||||||||||||||||Reproduction|Mounting, copulation, intercourse|LOEL||50||NR||NR|||AI g/ha|Not reported||1||NR||NR|Day(s)|Claver,M.A., B. Ravichandran, M.M. Khan, and D.P. Ambrose|68411|Impact of Cypermethrin on the Functional Response, Predatory and Mating Behaviour of a Non-target Potential Biological Control Agent Acanthaspis pedestris (Stal) (Het., Reduviidae)|J. Appl. Entomol.127(1): 18-22|2003|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achatina fulica|Giant African Snail|Molluscs; U.S. Invasive Species|Adult||2||NR||NR|Year(s)|Direct application|Not reported|Lab|5|Formulation||2.38||1.30||11.76|%|||||||||||||||||Mortality|Mortality|LC50||2.38||1.30||11.76|||%|Not reported||1||NR||NR|Day(s)|Rao,I.G., and D.K. Singh|77559|Toxic Effect of Single and Binary Treatments of Synthetic and Plant-Derived Molluscicides Against Achatina fulica|J. Appl. Toxicol.22(3): 211-215|2002|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achatina fulica|Giant African Snail|Molluscs; U.S. Invasive Species|Adult||2||NR||NR|Year(s)|Direct application|Not reported|Lab|5|Formulation||0.28||0.20||0.37|%|||||||||||||||||Mortality|Mortality|LC50||0.28||0.20||0.37|||%|Not reported||4||NR||NR|Day(s)|Rao,I.G., and D.K. Singh|77559|Toxic Effect of Single and Binary Treatments of Synthetic and Plant-Derived Molluscicides Against Achatina fulica|J. Appl. Toxicol.22(3): 211-215|2002|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achatina fulica|Giant African Snail|Molluscs; U.S. Invasive Species|Adult||2||NR||NR|Year(s)|Direct application|Not reported|Lab|5|Formulation||1.12||0.72||3.05|%|||||||||||||||||Mortality|Mortality|LC50||1.12||0.72||3.05|||%|Not reported||2||NR||NR|Day(s)|Rao,I.G., and D.K. Singh|77559|Toxic Effect of Single and Binary Treatments of Synthetic and Plant-Derived Molluscicides Against Achatina fulica|J. Appl. Toxicol.22(3): 211-215|2002|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achatina fulica|Giant African Snail|Molluscs; U.S. Invasive Species|Adult||2||NR||NR|Year(s)|Direct application|Not reported|Lab|5|Formulation||0.42||0.32||0.57|%|||||||||||||||||Mortality|Mortality|LC50||0.42||0.32||0.57|||%|Not reported||3||NR||NR|Day(s)|Rao,I.G., and D.K. Singh|77559|Toxic Effect of Single and Binary Treatments of Synthetic and Plant-Derived Molluscicides Against Achatina fulica|J. Appl. Toxicol.22(3): 211-215|2002|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||30||NR||NR|Aculops lycopersici|Tomato Russet Mite|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Lab|'5-6|Formulation||20||NR||NR|ppm|||||||||||||||||Mortality|Mortality|LC50||20||NR||NR|||ppm|Not reported||2||NR||NR|Day(s)|Abou-Awad,B.A., and E.M. El-Banhawy|100336|Susceptibility of the Tomato Russet Mite, Aculops lycopersici (Acari:  Eriophyidae), in Egypt to Methamidophos, Pyridaphenthion, Cypermethrin, Dicofol and Fenarimol|Exp. Appl. Acarol.1(1): 11-15|1985|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||30||NR||NR|Aculops lycopersici|Tomato Russet Mite|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Litter|Lab|'5-6|Formulation||123||NR||NR|ppm|||||||||||||||||Mortality|Mortality|LC90||123||NR||NR|||ppm|Not reported||2||NR||NR|Day(s)|Abou-Awad,B.A., and E.M. El-Banhawy|100336|Susceptibility of the Tomato Russet Mite, Aculops lycopersici (Acari:  Eriophyidae), in Egypt to Methamidophos, Pyridaphenthion, Cypermethrin, Dicofol and Fenarimol|Exp. Appl. Acarol.1(1): 11-15|1985|
52315078|3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||100||NR||NR|Acyrthosiphon kondoi|Blue Alfalfa Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||0.1/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.1/||NR/||NR/|||AI lb/acre|Not reported||1||NR||NR|Day(s)|Rethwisch,M.D., D. Tellez, and C.W. McDaniel|79797|Control of Early Season Alfalfa Insects, 1991|Insectic. Acaric. Tests17:180-182|1992|
