"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalolepta vastator|Fig Longicorn Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|3|Formulation||80||NR||NR|ml/100 L|||||||||||||||||Population|Abundance|NOEL||80||NR||NR|||ml/100 L|Not reported|~|213.08||NR||NR|Day(s)|Goodwin,S.|154982|Chemical Control of Fig Longicorn, Acalolepta vastator (Newman) (Coleoptera: Cerambycidae), Infesting Grapevines|Aust. J. Entomol.44(1): 71-76|2005|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acyrthosiphon pisum|Pea Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, ground|No substrate|Field natural|3|Active ingredient||0.03||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.03||NR||NR|||AI lb/acre|Not reported||7||NR||NR|Day(s)|Watrin,C.G., and E.B. Radcliffe|88714|Alfalfa Insect Control in Minnesota, 1986|Insectic. Acaric. Tests12:177-|1987|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||22||NR||NR|Allium cepa|Common Onion|Flowers, Trees, Shrubs, Ferns; Standard Test Species|Not reported||NR||NR||NR|Not reported|Spray, hand|Natural soil|Field natural|3|Active ingredient||8||NR||NR|AI oz/acre|||||||||||||||||Population|Biomass|NOEL||8||NR||NR|||AI oz/acre|Not reported||NR||NR||NR|Harvest|Johnston,R.L., and G.W. Bishop|88723|Onion Thrips Control, 1986|Insectic. Acaric. Tests12:124-142|1987|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||22||NR||NR|Allium cepa|Common Onion|Flowers, Trees, Shrubs, Ferns; Standard Test Species|Not reported||NR||NR||NR|Not reported|Spray, hand|Natural soil|Field natural|3|Active ingredient||8||NR||NR|AI lb/acre|||||||||||||||||Population|Biomass|NOEL||8||NR||NR|||AI lb/acre|Not reported||NR||NR||NR|Harvest|Johnston,R.L., and G.W. Bishop|88723|Onion Thrips Control, 1986|Insectic. Acaric. Tests12:124-142|1987|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||22||NR||NR|Allium cepa|Common Onion|Flowers, Trees, Shrubs, Ferns; Standard Test Species|Not reported||NR||NR||NR|Not reported|Spray, hand|Natural soil|Field natural|3|Active ingredient||NR||6||8|AI oz/acre|||||||||||||||||Growth|Size|NR||NR||6||8|||AI oz/acre|Bulb||NR||NR||NR|Harvest|Johnston,R.L., and G.W. Bishop|88723|Onion Thrips Control, 1986|Insectic. Acaric. Tests12:124-142|1987|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||22||NR||NR|Allium cepa|Common Onion|Flowers, Trees, Shrubs, Ferns; Standard Test Species|Not reported||NR||NR||NR|Not reported|Spray, hand|Natural soil|Field natural|3|Active ingredient||NR||6||8|AI oz/acre|||||||||||||||||Growth|Size|NR||NR||6||8|||AI oz/acre|Bulb||NR||NR||NR|Harvest|Johnston,R.L., and G.W. Bishop|88723|Onion Thrips Control, 1986|Insectic. Acaric. Tests12:124-142|1987|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Amyelois transitella|Navel Orangeworm|Insects/Spiders|Larva||NR||0||12|Hours post hatch|Food|No substrate|Lab|6|Formulation||1.900||1.200||3.000|ug/g|||||||||||||||||Mortality|Mortality|LC50||1.900||1.200||3.000|||ug/g|Not reported||1||NR||NR|Day(s)|Niu,G., H.S. Pollock, A. Lawrance, J.P. Siegel, and M.R. Berenbaum|159377|Effects of a Naturally Occurring and a Synthetic Synergist on Toxicity of Three Insecticides and a Phytochemical to Navel Orangeworm (Lepidoptera: Pyralidae)|J. Econ. Entomol.105(2): 410-417|2012|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Amyelois transitella|Navel Orangeworm|Insects/Spiders|Larva||NR||0||12|Hours post hatch|Food|No substrate|Lab|6|Formulation||0.730||0.450||1.200|ug/g|||||||||||||||||Mortality|Mortality|LC50||0.730||0.450||1.200|||ug/g|Not reported||2||NR||NR|Day(s)|Niu,G., H.S. Pollock, A. Lawrance, J.P. Siegel, and M.R. Berenbaum|159377|Effects of a Naturally Occurring and a Synthetic Synergist on Toxicity of Three Insecticides and a Phytochemical to Navel Orangeworm (Lepidoptera: Pyralidae)|J. Econ. Entomol.105(2): 410-417|2012|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Amyelois transitella|Navel Orangeworm|Insects/Spiders|Larva||1||NR||NR|Instar|Food|No substrate|Lab|2|Formulation||2/||NR/||NR/|ug/g|||||||||||||||||Mortality|Mortality|NR||2/||NR/||NR/|||ug/g|Not reported||NR||1||6|Day(s)|Niu,G., H.S. Pollock, A. Lawrance, J.P. Siegel, and M.R. Berenbaum|159377|Effects of a Naturally Occurring and a Synthetic Synergist on Toxicity of Three Insecticides and a Phytochemical to Navel Orangeworm (Lepidoptera: Pyralidae)|J. Econ. Entomol.105(2): 410-417|2012|
102851069|N-[2-Chloro-4-(trifluoromethyl)phenyl]-D-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Aphididae|Aphid Family|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, ground|No substrate|Field natural|2|Formulation||150/||NR/||NR/|ml/ha|||||||||||||||||Population|Abundance|LOEL||150/||NR/||NR/|||ml/ha|Not reported||4||NR||NR|Day(s)|Moreby,S.J., S. Southway, A. Barker, and J.M. Holland|67223|A Comparison of the Effect of New and Established Insecticides on Nontarget Invertebrates of Winter Wheat Fields|Environ. Toxicol. Chem.20(10): 2243-2254|2001|
