"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalolepta vastator|Fig Longicorn Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||40/||NR/||NR/|ml/100 L|||||||||||||||||Population|Abundance|LOEL||40/||NR/||NR/|||ml/100 L|Not reported|~|213.08||NR||NR|Day(s)|Goodwin,S.|154982|Chemical Control of Fig Longicorn, Acalolepta vastator (Newman) (Coleoptera: Cerambycidae), Infesting Grapevines|Aust. J. Entomol.44(1): 71-76|2005|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalolepta vastator|Fig Longicorn Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||80/||NR/||NR/|ml/100 L|||||||||||||||||Population|Abundance|LOEL||80/||NR/||NR/|||ml/100 L|Not reported|~|213.08||NR||NR|Day(s)|Goodwin,S.|154982|Chemical Control of Fig Longicorn, Acalolepta vastator (Newman) (Coleoptera: Cerambycidae), Infesting Grapevines|Aust. J. Entomol.44(1): 71-76|2005|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achyra rantalis|Garden Webworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|3|Active ingredient||0.015||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.015||NR||NR|||AI lb/acre|Not reported||7||NR||NR|Day(s)|Spomer,S.M., L.G. Higley, F.J. Haile, and W.W. Hoback|99848|Alfalfa Insect Control, 1996|Arthropod Manag. Tests22:200-201|1997|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achyra rantalis|Garden Webworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|3|Active ingredient||0.0125||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|NOEL||0.0125||NR||NR|||AI lb/acre|Not reported||14||NR||NR|Day(s)|Spomer,S.M., L.G. Higley, F.J. Haile, and W.W. Hoback|99849|Alfalfa Insect Control, 1997|Arthropod Manag. Tests23:175-178|1998|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Achyra rantalis|Garden Webworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|3|Active ingredient||0.025||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|NOEL||0.025||NR||NR|||AI lb/acre|Not reported||14||NR||NR|Day(s)|Spomer,S.M., L.G. Higley, F.J. Haile, and W.W. Hoback|99849|Alfalfa Insect Control, 1997|Arthropod Manag. Tests23:175-178|1998|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acrididae|Grasshopper Family|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|3|Active ingredient||0.015||NR||NR|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.015||NR||NR|||AI lb/acre|Not reported||1||NR||NR|Day(s)|Spomer,S.M., L.G. Higley, F.J. Haile, and W.W. Hoback|99848|Alfalfa Insect Control, 1996|Arthropod Manag. Tests22:200-201|1997|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acrosternum hilare|Stink Bug|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||0.03/||NR/||NR/|lb/acre|||||||||||||||||Population|Abundance|LOEL||0.03/||NR/||NR/|||lb/acre|Not reported||50||NR||NR|Day(s)|Griffin,R.P., and M.F.R. Khan|153503|Efficacy of Insecticides on Tomato Insects, 1996|Arthropod Manag. Tests23:153-154|1998|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acrosternum hilare|Stink Bug|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, unspecified|Natural soil|Field natural|2|Active ingredient||0.028/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.028/||NR/||NR/|||AI lb/acre|Not reported||22||NR||NR|Day(s)|Griffin,R.P., and M.F.R. Khan|153330|Efficacy of Insecticides on Tomato Insects, 1997|Arthropod Manag. Tests23:154-155|1998|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acrosternum hilare|Stink Bug|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||0.034/||NR/||NR/|AI kg/ha|||||||||||||||||Population|Abundance|LOEL||0.034/||NR/||NR/|||AI kg/ha|Not reported||50||NR||NR|Day(s)|Khan,M.F.R., and R.P. Griffin|153329|Efficacy of Insecticides at Controlling Insect Pests of Tomato in South Carolina|J. Agric. Urban Entomol.16(3): 165-170|1999|
68359375|3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acyrthosiphon pisum|Pea Aphid|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, foliar|No substrate|Field natural|2|Active ingredient||0.025/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|LOEL||0.025/||NR/||NR/|||AI lb/acre|Not reported||5||NR||NR|Day(s)|Bragg,D.E., and J.W. Burns|150663|Control of Insects on Spring Peas, 1997|Arthropod Manag. Tests23:250-251|1998|
